Name,Photo,URL,Submitted by,Why I like it,Welfie Teen Council,Associated with School / District,Sourced from (School Districts etc.),Jared's Rating,Jared's Review,Audrea's Review,Audrea's Rating copy,Elisabeth's Rating,Elisabeth's Review,Luis' Rating,Luis' Review,Jackie's Rating,Jackie's Review,Pam's Review,Pam's Rating,Susan's Review,Susan's Rating,Nneka's Review,Nneka's Ratings,Nicole's Review,Nicole's Rating,Gillians Rating,Gillian's Review,Teachers or Teens,Welfie Review,Welfie Rating,Letter Grade,Welfie Video Review,Their Featured Video,Type of Resources,Health Awareness Month,Medium(s),Social Media,Target Community,Target Audience,Commonly Used Language,Clinical Diagnosis (DSM-V),Type of Organization,Pricing Page,Pros,Cons,Affordability Rating,LGBTQ+ Friendly,Tech. Equity,Rated by Teens,Typeform rating,Racial/Ethnic Focus,Gender Focus,Geographic Focus,When to Use,Therapy Services,Health Service Providers,Emotional Wheel,Conflicts of Interest,ZIP,CITY,COUNTY,STATE,Type of Medicine,Approvals,Covered By,Similar to,Rate & Review URL,RATE ME,Finalized By,Created By,Last Modified By,Created Time,Presented by,FIND OUT MORE,Share,Share with a Friend,Vetted?,Health Ed,Lesson,Field 73,Personalize Form,Get Personal Health Content
Mental Health Literacy,Home_-_TeenMentalHealth.Org.Org (https://v5.airtableusercontent.com/v1/19/19/1689739200000/ENzyHpaGsu5p128WFoOMhA/OholoK0TmqBJEhqlGhBz6jmLSpTRvIElPRFp0DshQk9iu4tTyqgv5FPjFghdSrBwV7YvMsAOG0h9Luypry7M48tJen-HzeVs5fCM7TKKw1pyRiPDkvg5vOpHXUkO36UA/xuKpZ_aURO1gbt47eJxWj86DgPtOVHBzxU_ubWDojWI),https://mentalhealthliteracy.org/,Sophia Herrera,,,,,,,"As someone with OCD, this resource makes me feel less alone and more aware of my symptoms. I can only imagine how it would feel for teens who are diagnosed or suspect they have OCD or other mental disorders as well. This is highly educational and thorough. ",5,,,,,,,"A lot of great resources for kids/teens, parents, health professionals, etc. Not only do they have their own resources but they have links out to other resources as well. The statistics in this resource are from the DSM 5. ",4,,,,,,,4,This is a great website to use when trying to gather more information about different mental health issues. The website offers different resources depending on what the person wants or who they want to get information for.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Book,Social Media","Instagram,youtube","Family,School",K-12,"Mental Health,Depression","General Anxiety Disorder,Suicidal Thoughts",Non Governmental Organization,,Family Centric,,4,2,4,,,None,None,Urban,"Health Promotion,Preventive",No,Not Applicable,,,AB T2T 5C7,Calgary,,Canada,Non-Pharmaceutical,,,SHARING IS CARING,,,,sa as,Audrea Carey,7/7/2021 9:50 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://mentalhealthliteracy.org/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Reach Out,Welcome_to_ReachOut.com__ReachOut_Australia.com | ReachOut Australia (https://v5.airtableusercontent.com/v1/19/19/1689739200000/jILXx5v5VeG4JDgAMdxxdQ/4q0MynSLMAV9OvTdbEXnFSBdA9zVydYzO1iW2wvLXDdBKec5A1pOAaPsJ4F93arMpUPhQLVgHwFyQ911jX8F3Q3wImbIJawv1Bqg0ETMbmyCd-JgrMC8Oyh-YTTNJyy3u6NDAkO0cjhI-FL9Wa68i9sIrHh09nYY1ZxmwfqL4LE/7wFlQPdqrnsfFHB0-_yRWqf6bRPVf8KwTwoVMIlHyfA),https://au.reachout.com/,Sophia Herrera,,,,,,,,,,,,,,,Not just information but also have the ability to have select apps tailored to what you want to focus on. There is years of research that shows Reach Outs efficacy.,4,,,,,,,5,This website provides great resources and advice on how to deal with different issues ranging from mental health to bullying. It also has videos with teens talking to different professionals.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Mobile App","Instagram,youtube,Facebook","Family,School",Highschool: 9-12,"Mental Health,stress,sadness",,Non-profit,,"Family Centric,Evidenced Based",On-line only,4,3,3,,,None,None,Suburban,"Preventive,Health Promotion",No,Not Applicable,,,NSW 2009,Pyrmont,,Australia,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/7/2021 10:39 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://au.reachout.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Mental Health is Health,Home_-_Mental_Health_Is_Health (https://v5.airtableusercontent.com/v1/19/19/1689739200000/T_-Tv6lZlxDezlYUHKb-iA/mMVTcdWKA2RdiRALXQ4AdyIS87eJzBBbrY3_lVft5B84Eyv2O8LlvSOcEI8zoM0qMZi2Hok6bzU47WVhuX0wo_mPNevOThHVmeIBtMif_NAhBgGCXLPHN0FUgeh0USwf/zWq4p0ZDdqjzOAwo97EGA48S-3o66fzqelrCI0h6x0Y),https://www.mentalhealthishealth.us/,Sophia Herrera,,,,,,,,,,,,,,,Information is superficial. Not a lot of detail or depth to the information that is provided. It does have articles about apps that can help have have crisis lines and therapists.,2,,,,,,,3,"This website is a really great starting point, but it doesn't have as much information than other websites do. It's a great starting point on understanding what you are feeling and ential steps you can take. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,,Family,"Highschool: 9-12,Young Adult: 17-21,Middle: 7-8","Mental Health,Depression,stress",,Non Governmental Organization,,Young Adult Focused,"On-line only,English Only",4,3,2,,,None,All of the above,,"Preventive,Health Promotion",No,Not Applicable,,,,,,,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/7/2021 11:09 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.mentalhealthishealth.us/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Young Men's Health,Reading_and_Learning_Resources_for_Teens__Kingston_Massachusetts_... (https://v5.airtableusercontent.com/v1/19/19/1689739200000/brrIXVDP67-o8_E9banjKA/rPRhrAyTdtRHRoE7ZT9px1TX1heCtA-ffLQgcWndW9d3-d0TG6tO3Ed88I4hbwezcyzX3IMuRcmXUaMCQ8SQVNt_Do3heddxjaVuN4uD0EY8ee09Qs3mUnjzF0c70XrdVCNsVkcx4lI1rhPWRV8PK2y8KHD7Fk1YarS2pW1SiGo/2-Fu_o7oEY2VsXWgpeMCAKVH68rIAiv59HKfz199eHk),https://youngmenshealthsite.org/,Sophia Herrera,,,,,,,,,,,,,,,"Overall really good information with statistics. Some articles don’t have references or citations. There is also information for parents. Not only is it mental health but also general health, sexual health, and nutrition and fitness. Focus is for teenage boys and young men. ",3,,,,,,,3,"This website offers great information for not just mental health but general health as well. However, it really only informs, so it does not provide steps to take after the informative stage. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,Facebook,Family,"Young Adult: 17-21,Highschool: 9-12","eating disorder,Depression,Anxiety","Obsessive Compulsive Disorder,Suicidal Thoughts,Bipolar Disorder",Non-profit,,"Young Adult Focused,Evidenced Based",On-line only,4,2,2,,,None,Male,,"Preventive,Health Promotion",No,Not Applicable,,,2115,Boston,,Massachusetts,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/7/2021 11:22 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://youngmenshealthsite.org/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Center for Young Women's Health,About_Us__Center_for_Young_Womens_Health (https://v5.airtableusercontent.com/v1/19/19/1689739200000/HC05tC92CE3eLn_BIS3yKQ/tvo-AW3HC5cWiVIptJv-jTM4ed8p5FqhupuNUh2mjj_siRvl7iSc7DpKkTIicc9X1dSJc1D8YqCRWC2BV8yDgtZVZILlff7TNmOw2Nj6PBVSAtbrNbp7tNqnDGzn2rIu/sbB82NSOsEc30DufPnVS7dPGRQtCoxlTyss4DEzupqg),https://youngwomenshealth.org/emotional-health-index/,Sophia Herrera,,,,,,,,,3,"Many young women seek health guidance and answers online. This resource has health experts ready to answer any questions young females send their way. In addition, they have an entire forum dedicated to questions (asked anonymously) that they answer weekly and others can access. This allows women to openly ask questions on topics that we may not have been taught about growing up but need to know - without feeling an ounce of judgment. ",5,I feel that a website like this is so important especially now in days with our technology. I feel that many young girls who do not have someone to look for when it comes to advice with their bodies and health will turn to the internet. So by having a reliable website like this is super helpful with providing reliable and correct information.,,,The information is good especially with the prospective treatments. There is no citations for the information. The information that,3,,,,,,,3,"This website offers great information for not just mental health but general health as well. However, it really only informs, so it does not provide steps to take after the informative stage. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,Facebook,Family,"Young Adult: 17-21,Highschool: 9-12","eating disorder,Depression,Anxiety","Suicidal Thoughts,Bipolar Disorder,Depression",Non-profit,,"Evidenced Based,Young Adult Focused",On-line only,4,2,2,,,None,Female,,"Preventive,Health Promotion",No,Not Applicable,,,2115,Boston,,Massachusetts,Non-Pharmaceutical,,,,,,,sa as,Elisabeth R Vermeulen,7/7/2021 11:33 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://youngwomenshealth.org/emotional-health-index/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Health Experiences USA,HealthexperiencesUSA (https://v5.airtableusercontent.com/v1/19/19/1689739200000/eH9M7HR2zkvyt7xozqNuxA/QCtwOs34LJOiDsp83rykfrHivWSMNGFVPHmg6jRp3koXWLyjV08-OiFw9sRe8mZ6prvhBh_gJ8uv-em6bdPifACCU3EGE6yUdBknxnRCXks/Ay3x0lC-Paxkrvpu6wGm5ovdC09HNpP_cJFKv7AGwFY),https://healthexperiencesusa.org/home,Sophia Herrera,,,,,,,,,,,,,,,"This has good information however it is very limited due to this being a research study at looking at perceptions of specific groups. Currently, they have information about depression in young ad",1,,,,,,,1,This website is still in its beginning stages of creating and producing important content. The content that is on the website right now seems more catered towards parents/adults than teenagers.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,,Family,"Young Adult: 17-21,Adult: 21+","Depression,Mental Health",,Non-profit,,Patient Focused,On-line only,4,1,2,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/7/2021 12:04 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://healthexperiencesusa.org/home,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Health Talk,Healthtalk (https://v5.airtableusercontent.com/v1/19/19/1689739200000/ZOQCBdTe7jinzvLGnAY-3w/ktHqZidsXvupe8UhSIJhYWTi97ceCT2k24sL4p5i1gZuEQs8V5lwRBepJAa5Bd34eF3GjhzCH8ZoaWluZAJZsGulFPoIuZ_zmQUFtUzPmxw/JptAO5exQWGguQ5dnTbd_ug_5IjPcya7bnex3Cvo6vg),https://healthtalk.org/,Sophia Herrera,,,,,,,,,,,,,,,This resource has a lot of health information and,4,,,,,,,2,"This website allows people experiencing  health issues/experiences to hear from patients' firsthand experiences. However, this website does not offer that much insight in mental health issues. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,Facebook,Family,"Young Adult: 17-21,Adult: 21+,Highschool: 9-12","Depression,eating disorder,Mental Health",Depression,Non-profit,,"Patient Focused,Evidenced Based",On-line only,4,1,2,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,Health Experiences USA,,,,sa as,WELFIE,7/7/2021 2:18 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://healthtalk.org/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Cerebral,Cerebral_-_Crunchbase_Company_Profile__Funding (https://v5.airtableusercontent.com/v1/19/19/1689739200000/6qyXBKS1Qn6Onna_W7aokA/UlK-Q-GZgOXGEDG-s-62Swm6JMcx_kps6fPemHVALHFaqgp3yddFQkCgYkGQHq6WgqZoQKOR0f3qZGqp3tsTic08xHiiJtdGtAHwpcK2L-z1WYjQSX7aDxscpicmikyXAFC6tJGgsFN4APq0Arl_KA/2yhrEQsgjEz4t12g_fgqcFE3c9X7D3YJyO72rf8MTEw),https://getcerebral.com/,Gillian Torza,,,,,,,,,,,,,,,A telehealth resource with some information about anxiety. One of the cheaper telehealth resource of (23/week for therapy) and accepts health insurance.,5,,,,,,,3,"You must be 18 years or older to take advantage of this website! This website offers medication and therapy for those struggling with anxiety, depression and ADHD. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Mobile App","Facebook,Instagram",Family,"Young Adult: 17-21,Adult: 21+","Depression,Anxiety",,For Profit,https://getcerebral.com/,"Patient Focused,Accepts Insurance",English Only,4,1,2,,,None,None,Suburban,"On Demand Treatment,Health Promotion",Yes,"Coaches,Therapists",,,,San Francisco,,California,"Western Medicine,Pharmaceutical",FSA,"Cigna,Medicare",,,,,sa as,WELFIE,7/8/2021 9:19 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://getcerebral.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Ahead,Mental_Healthcare_Designed_For_You__Ahead (https://v5.airtableusercontent.com/v1/19/19/1689739200000/b9PaB9JCpaH9qsNxYmMiSA/7NVlQtrCkaXj-hR2ofr6Q_0TJWqGmcL7Nty8Mt8nqWBEGT8bwl-fiq2oAtk0E_q-6hd7SE6EPJg8Lc-i_fxjySw3lOhMcSgXRuo9YWonyn4eONzHF_XD5KtUlDXMBYMSyQtrwVpu02i4-VktlZDtYQ/ku_qMzY_lxCKcEnNFZ8RqCs1Bn_EuB-GoxlM1YOLyMU),https://helloahead.com/,Gillian Torza,,,,,,,,,,,,,,,"Purely a telehealth service. It states that you can receive medication management and therapy services. Their providers are all psychiatrist, nurses, and nurse practitioners. There are no psychologists, counselors, MFTs, etc. The appointments are very expensive (275 for meds and therapy). No general mental health information. ",3,,,,,,,1,"This website offers therapy sessions and prescriptions, but unless you are over 18, you would need the help of a parent to utilize this site. It also does not accept insurance right now for the therapy sessions. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Mobile App","Facebook,Instagram",Family,Adult: 21+,"Depression,Anxiety","ADHD,Depression",For Profit,https://helloahead.com/,"Patient Focused,Accepts Insurance",English Only,3,2,2,,,None,None,,"On Demand Treatment,Health Promotion",Yes,"Nurse Practitioner,Psychiatrist",,,,San Francisco,,California,"Western Medicine,Alternative Medicine,Pharmaceutical",,,,,,,sa as,WELFIE,7/8/2021 9:44 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://helloahead.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Advekit,Advekit (https://v5.airtableusercontent.com/v1/19/19/1689739200000/Pe5jIt5WHNQy3W1785a7QA/6aoicjweCyxi169Rqq17C2-qNFjRYEpDaxCrH-pXYa0LmW-vll1nN9e07V9LM4Q1jCAvrVAKmDk0PF3xr-7LZg/he7MWaTGPjvPkoiYQHVec7JbdQqZn-XPFaca59Ttszc),https://www.advekit.com/,Gillian Torza,,,,,,,,,,,,,,,Telehealth platform that is not considered in network for insurance however they will submit claims to your insurance on your behalf. They match you with 3 potential therapists. It is unclear as to if you can speak with them for a consult to see which person fits best with you. Also unclear as to how they select their therapists. Other platforms talk about a selection process and the fact that they utilize EBPs. They have telehealth and in person options. No other information about mental health disorders or any resources.,3,,,,,,,1,"This website is really helpful because it finds therapists in your area while offering fair, reduced prices for the sessions. However, teens would not be able to necessarily utilize this website on their own and would most likely need their parent's help to book these appointments. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,"Facebook,Instagram",Family,"Adult: 21+,K-12",,,For Profit,,"Patient Focused,Accepts Insurance,Family Centric",On-line only,4,1,2,,,None,None,,Preventive,Yes,Therapists,,,,Los Angeles,,California,Non-Pharmaceutical,,,"Talk Space,Betterhelp",,,,sa as,WELFIE,7/8/2021 10:13 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.advekit.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Life Stance,Summit_Partners__Companies__LifeStance_Health (https://v5.airtableusercontent.com/v1/19/19/1689739200000/oQGcrpLYeeEtN0Kyr1DIdg/NWtRE2-NPO4Or2jxc2vdqYEakmI3B-bELqAxcKVsiK3pjOtg3xxZ0ehS4c6UXps8ZhWsEVH719-3b9HOjOO_w9XQ2SCLYXAaHL1JuZokXhFLl0swLYNpPfYtM_zAH2NF-8znxithmdLIWOgW1RvuVw/HfP7kBb6YRV8D_AqiGdB_AWOXB2_uMGvMWVIq3NF--c),https://lifestance.com/,Gillian Torza,,,,,,,,,,,,,,,"It is a telehealth and in person platform that accepts some insurance. They have psychiatrists, psychologists, and licensed therapists. They not only provide med management and therapy but also evaluations (diagnostic, educational, and neuropsychiatric). They provide information about common disorders and the types of EBPs that would be great for that population. ",5,,,,,,,2,"Although this website requires adults to set up the therapy sessions, it offers therapy sessions for children and adolescents, which other websites do not offer. These sessions can deal with a wide range of mental illnesses and help in the process of having insurance pay for the sessions.  ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,"Facebook,Instagram",Family,"Adult: 21+,K-12,Young Adult: 17-21","Depression,Anxiety,Mental Health","ADHD,Adjustment Disorder,Bipolar Disorder,Obsessive Compulsive Disorder",For Profit,https://lifestance.com/conditions/,"Accepts Insurance,Family Centric",,4,3,3,,,None,None,,"On Demand Treatment,Health Promotion",Yes,"Therapists,Psychologists,Psychiatrist",,,,Scottsdale,,Arizona,"Western Medicine,Non-Pharmaceutical",,"Tricare,Cigna,Humana",Advekit,,,,sa as,WELFIE,7/8/2021 10:19 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://lifestance.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Bright Line,Behavioral_Health_Care_for_Kids_and_Teens__Brightline (https://v5.airtableusercontent.com/v1/19/19/1689739200000/EbpICSa1vRt4yXX8lZsQaA/qWd1st4fY0wiEPHbOc16N5ha_qkGbtEE326fBIJpgmgR-HYOthjtN-RDd9Ggh4QBnir68i_UJXYCeYaqZ3g5jgeWm2OcDUK_mer9JOEfW104QpBkLK3OQikREApvP2RAVkgMJMViCPP7awrBHXgkJQ/WvU-62Kc4hY055G8j2PtrUNWX-5AoX4OVSVp7WHV0xI),https://www.hellobrightline.com/,Gillian Torza,,,,,,,,,,,,,,,"Telehealth platform. They offer coaching, behavioral therapy, speech therapy, and medication evaluation and management. They do not accept insurance and consider out of network but willing to work with you to understand your insurance.  The downside is that it is very specific in terms of treatment for children, behavioral therapy. Coaching which is not with a licensed professional is 60 dollars a session, therapy and speech therapy is 180 and psychiatry is 190. These costs are a little higher than the general community cost of a session. ",3,,,,,,,2,"This resource is not directly for teens; however, it is for companies and employers to purchase to promote mental health in their employee's children. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Mobile App","Facebook,Instagram","Family,Business",K-12,"Depression,Anxiety,Mental Health",,For Profit,https://www.hellobrightline.com/pricing,"Family Centric,Accepts Insurance",On-line only,4,2,2,,,None,None,,"On Demand Treatment,Health Promotion",Yes,"Coaches,Therapists",,,,Palo Alto,,California,Western Medicine,,,,,,,sa as,WELFIE,7/8/2021 10:50 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.hellobrightline.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Active Minds,Active_Minds_National_Chapter_of_the_Year_-_Student_Affairs (https://v5.airtableusercontent.com/v1/19/19/1689739200000/9oiFogH5avsAv8jRZzBCKQ/wf-m45ECNQtVw2Zs7OwF6cGz2BminX5AxtgxSpKsLNMcGzLOASEMiqGC-bvU9qGSFraRHZOxp-HWTKPPtmoUGvu5vAtnn9VIYDgzQAoFQXH1EBCxEYdWrXef-1bRrYcis6KtZxMMF8LLdTBS7KMc-pe0K71fcPNF2TvbAyEUyjM/PaDx7v1n-ypmUTsbiRLr1AIHYTOAE558Jn3EFKeqXJg),https://www.activeminds.org/,Gillian Torza,,,,,,,,,,,,,,,"Good resource for general information and has programs to bring awareness and information to schools, universities, and work. Looks like there is no telehealth services and that they are strictly an information base. ",4,,,,,,,5,This resource helps put the promotion of mental health in the hands of teens. It offers great resources for a more individual use as well as ways to promote mental health on a greater scale.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Social Media","Facebook,Instagram,Snap",School,"Highschool: 9-12,Young Adult: 17-21",Depression,,Non-profit,,Young Adult Focused,,4,3,4,,,None,None,,"Preventive,Health Promotion",No,Not Applicable,,,20009,Washington DC,,,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/8/2021 11:19 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.activeminds.org/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
